股票代號,股票名稱,收盤價,股數_2025-09-04,今日權重%,股數_2025-09-03,昨日權重%,買賣超股數,權重Δ%
1210,大成,,0,0.0,754000,0.0,-754000,0.0
1560,中砂,,0,0.0,1000,0.0,-1000,0.0
2059,川湖,,0,0.0,57000,0.0,-57000,0.0
2308,台達電,,0,0.0,1095000,0.0,-1095000,0.0
2317,鴻海,,0,0.0,1000,0.0,-1000,0.0
2330,台積電,,0,0.0,1601000,0.0,-1601000,0.0
2345,智邦,,0,0.0,1162000,0.0,-1162000,0.0
2354,鴻準,,0,0.0,2204000,0.0,-2204000,0.0
2357,華碩,,0,0.0,788000,0.0,-788000,0.0
2368,金像電,,0,0.0,1887000,0.0,-1887000,0.0
2383,台光電,,0,0.0,926000,0.0,-926000,0.0
2439,美律,,0,0.0,1000,0.0,-1000,0.0
2449,京元電子,,0,0.0,5977000,0.0,-5977000,0.0
2454,聯發科,,0,0.0,523000,0.0,-523000,0.0
2481,強茂,,0,0.0,2175000,0.0,-2175000,0.0
2618,長榮航,,0,0.0,430000,0.0,-430000,0.0
2884,玉山金,,0,0.0,14977010,0.0,-14977010,0.0
2886,兆豐金,,0,0.0,818000,0.0,-818000,0.0
3008,大立光,,0,0.0,32000,0.0,-32000,0.0
3017,奇鋐,,0,0.0,869000,0.0,-869000,0.0
3045,台灣大,,0,0.0,43000,0.0,-43000,0.0
3131,弘塑,,0,0.0,206000,0.0,-206000,0.0
3211,順達,,0,0.0,102000,0.0,-102000,0.0
3217,優群,,0,0.0,1000,0.0,-1000,0.0
3231,緯創,,0,0.0,998000,0.0,-998000,0.0
3376,新日興,,0,0.0,800000,0.0,-800000,0.0
3529,力旺,,0,0.0,80000,0.0,-80000,0.0
3533,嘉澤,,0,0.0,159000,0.0,-159000,0.0
3583,辛耘,,0,0.0,888000,0.0,-888000,0.0
3653,健策,,0,0.0,388000,0.0,-388000,0.0
3661,世芯-KY,,0,0.0,291000,0.0,-291000,0.0
3665,貿聯-KY,,0,0.0,1183848,0.0,-1183848,0.0
4770,上品,,0,0.0,420000,0.0,-420000,0.0
4958,臻鼎-KY,,0,0.0,4298000,0.0,-4298000,0.0
4966,譜瑞-KY,,0,0.0,161000,0.0,-161000,0.0
5347,世界,,0,0.0,232000,0.0,-232000,0.0
6139,亞翔,,0,0.0,1000,0.0,-1000,0.0
6143,振曜,,0,0.0,1000,0.0,-1000,0.0
6223,旺矽,,0,0.0,525000,0.0,-525000,0.0
6274,台燿,,0,0.0,1578000,0.0,-1578000,0.0
6278,台表科,,0,0.0,1000,0.0,-1000,0.0
6472,保瑞,,0,0.0,251000,0.0,-251000,0.0
6515,穎崴,,0,0.0,1000,0.0,-1000,0.0
6669,緯穎,,0,0.0,182000,0.0,-182000,0.0
6757,台灣虎航,,0,0.0,142000,0.0,-142000,0.0
6805,富世達,,0,0.0,386000,0.0,-386000,0.0
8028,昇陽半導體,,0,0.0,1499000,0.0,-1499000,0.0
8046,南電,,0,0.0,3399000,0.0,-3399000,0.0
8210,勤誠,,0,0.0,822000,0.0,-822000,0.0
8996,高力,,0,0.0,1000,0.0,-1000,0.0
98,00981A 主動統一台股增長,,0,0.0,0,0.0,0,0.0
